MI_dir_L5_weight,MI_dir_L5_mean,MI_dir_L5_variance,MI_dir_L3_weight,MI_dir_L3_mean,MI_dir_L3_variance,MI_dir_L1_weight,MI_dir_L1_mean,MI_dir_L1_variance,MI_dir_L0.1_weight,MI_dir_L0.1_mean,MI_dir_L0.1_variance,MI_dir_L0.01_weight,MI_dir_L0.01_mean,MI_dir_L0.01_variance,H_L5_weight,H_L5_mean,H_L5_variance,H_L3_weight,H_L3_mean,H_L3_variance,H_L1_weight,H_L1_mean,H_L1_variance,H_L0.1_weight,H_L0.1_mean,H_L0.1_variance,H_L0.01_weight,H_L0.01_mean,H_L0.01_variance,HH_L5_weight,HH_L5_mean,HH_L5_std,HH_L5_magnitude,HH_L5_radius,HH_L5_covariance,HH_L5_pcc,HH_L3_weight,HH_L3_mean,HH_L3_std,HH_L3_magnitude,HH_L3_radius,HH_L3_covariance,HH_L3_pcc,HH_L1_weight,HH_L1_mean,HH_L1_std,HH_L1_magnitude,HH_L1_radius,HH_L1_covariance,HH_L1_pcc,HH_L0.1_weight,HH_L0.1_mean,HH_L0.1_std,HH_L0.1_magnitude,HH_L0.1_radius,HH_L0.1_covariance,HH_L0.1_pcc,HH_L0.01_weight,HH_L0.01_mean,HH_L0.01_std,HH_L0.01_magnitude,HH_L0.01_radius,HH_L0.01_covariance,HH_L0.01_pcc,HH_jit_L5_weight,HH_jit_L5_mean,HH_jit_L5_variance,HH_jit_L3_weight,HH_jit_L3_mean,HH_jit_L3_variance,HH_jit_L1_weight,HH_jit_L1_mean,HH_jit_L1_variance,HH_jit_L0.1_weight,HH_jit_L0.1_mean,HH_jit_L0.1_variance,HH_jit_L0.01_weight,HH_jit_L0.01_mean,HH_jit_L0.01_variance,HpHp_L5_weight,HpHp_L5_mean,HpHp_L5_std,HpHp_L5_magnitude,HpHp_L5_radius,HpHp_L5_covariance,HpHp_L5_pcc,HpHp_L3_weight,HpHp_L3_mean,HpHp_L3_std,HpHp_L3_magnitude,HpHp_L3_radius,HpHp_L3_covariance,HpHp_L3_pcc,HpHp_L1_weight,HpHp_L1_mean,HpHp_L1_std,HpHp_L1_magnitude,HpHp_L1_radius,HpHp_L1_covariance,HpHp_L1_pcc,HpHp_L0.1_weight,HpHp_L0.1_mean,HpHp_L0.1_std,HpHp_L0.1_magnitude,HpHp_L0.1_radius,HpHp_L0.1_covariance,HpHp_L0.1_pcc,HpHp_L0.01_weight,HpHp_L0.01_mean,HpHp_L0.01_std,HpHp_L0.01_magnitude,HpHp_L0.01_radius,HpHp_L0.01_covariance,HpHp_L0.01_pcc
1.0,60.0,0.0,1.0,60.0,0.0,1.0,60.0,0.0,1.0,60.0,0.0,1.0,60.0,0.0,1.0,60.0,0.0,1.0,60.0,0.0,1.0,60.0,0.0,1.0,60.0,0.0,1.0,60.0,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0,1.0,1505661693.0,0.0,1.0,1505661693.0,0.0,1.0,1505661693.0,0.0,1.0,1505661693.0,0.0,1.0,1505661693.0,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0
1.0,354.0,0.0,1.0,354.0,0.0,1.0,354.0,0.0,1.0,354.0,0.0,1.0,354.0,0.0,1.000000032,353.9999996,4.59e-06,1.000031776,353.9996187,0.004575383,1.031757072,353.6306448,4.29583941,2.597515222,346.6197997,34.09504708,5.319895236,344.2626949,22.18829857,1.000000032,353.9999996,0.002142519,353.9999996,4.59e-06,0.0,0.0,1.000031776,353.9996187,0.067641574,353.9996187,0.004575383,0.0,0.0,1.031757072,353.6306448,2.072640685,353.6306448,4.29583941,0.0,0.0,2.597515222,346.6197997,5.839096427,346.6197997,34.09504708,0.0,0.0,5.319895236,344.2626949,4.710445687,344.2626949,22.18829857,0.0,0.0,1.000000032,4.980575201,4.23e-07,1.000031776,4.980690887,0.000422029,1.031757072,5.092511423,0.418370441,2.597515222,31.24484876,6976.104978,5.319895236,58.01651105,12740.63613,1.000000032,353.9999996,0.002142519,353.9999996,4.59e-06,0.0,0.0,1.000031776,353.9996187,0.067641574,353.9996187,0.004575383,0.0,0.0,1.031757072,353.6306448,2.072640685,353.6306448,4.29583941,0.0,0.0,2.597515222,346.6197997,5.839096427,346.6197997,34.09504708,0.0,0.0,5.319895236,344.2626949,4.710445687,344.2626949,22.18829857,0.0,0.0
1.857878541,360.4589798,35.78933753,1.91212736,360.2757326,35.92397154,1.969806657,360.0919684,35.9915418,1.99693884,360.0091976,35.9999154,1.999693461,360.0009198,35.99999915,1.857878569,360.4589795,35.78934202,1.912156343,360.2754556,35.92848955,2.000604877,359.8134525,40.39880279,3.589563813,352.0188402,100.0815133,6.318264483,347.7030867,81.6250773,1.857878569,360.4589795,5.982419412,360.4589795,35.78934202,0.0,0.0,1.912156343,360.2754556,5.994037834,360.2754556,35.92848955,0.0,0.0,2.000604877,359.8134525,6.356005254,359.8134525,40.39880279,0.0,0.0,3.589563813,352.0188402,10.00407484,352.0188402,100.0815133,0.0,0.0,6.318264483,347.7030867,9.034659778,347.7030867,81.6250773,0.0,0.0,1.857878569,2.323596243,6.056225848,1.912156343,2.399071467,6.079503362,2.000604877,2.569134347,6.58053185,3.589563813,22.55281278,5228.309522,6.318264483,48.84116231,11171.88781,1.857878569,360.4589795,5.982419412,360.4589795,35.78934202,0.0,0.0,1.912156343,360.2754556,5.994037834,360.2754556,35.92848955,0.0,0.0,2.000604877,359.8134525,6.356005254,359.8134525,40.39880279,0.0,0.0,3.589563813,352.0188402,10.00407484,352.0188402,100.0815133,0.0,0.0,6.318264483,347.7030867,9.034659778,347.7030867,81.6250773,0.0,0.0
1.0,337.0,0.0,1.0,337.0,0.0,1.0,337.0,0.0,1.0,337.0,0.0,1.0,337.0,0.0,1.0,337.0,0.0,1.0,337.0,0.0,1.0,337.0,0.0,1.0,337.0,0.0,1.0,337.0,0.0,1.0,337.0,0.0,337.0,0.0,0.0,0.0,1.0,337.0,0.0,337.0,0.0,0.0,0.0,1.0,337.0,0.0,337.0,0.0,0.0,0.0,1.0,337.0,0.0,337.0,0.0,0.0,0.0,1.0,337.0,0.0,337.0,0.0,0.0,0.0,1.0,1505661697.0,0.0,1.0,1505661697.0,0.0,1.0,1505661697.0,0.0,1.0,1505661697.0,0.0,1.0,1505661697.0,0.0,1.0,337.0,0.0,337.0,0.0,0.0,0.0,1.0,337.0,0.0,337.0,0.0,0.0,0.0,1.0,337.0,0.0,337.0,0.0,0.0,0.0,1.0,337.0,0.0,337.0,0.0,0.0,0.0,1.0,337.0,0.0,337.0,0.0,0.0,0.0
1.680222861,172.1409171,18487.44875,1.793580037,182.5602793,18928.1753,1.925827859,193.1657529,19153.79581,1.992322924,197.9663139,19181.96518,1.999229627,198.4466311,19182.24715,1.680222861,172.1409171,18487.44875,1.793580037,182.5602793,18928.1753,1.925827859,193.1657529,19153.79581,1.992322924,197.9663139,19181.96518,1.999229627,198.4466311,19182.24715,1.0,60.0,0.0,524.3996476,31826.30757,0.0,0.0,1.0,60.0,0.0,483.0852644,46402.70352,0.0,0.0,1.0,60.0,0.0,437.9020812,58393.63076,0.0,0.0,1.0,60.0,0.0,419.5586605,62080.60969,0.0,0.0,1.0,60.0,0.0,417.8533333,62388.64923,0.0,0.0,1.0,1505661697.0,0.0,1.0,1505661697.0,0.0,1.0,1505661697.0,0.0,1.0,1505661697.0,0.0,1.0,1505661697.0,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0
2.60407635,134.0694846,13713.02497,2.744358112,142.6382739,14811.1519,2.908047113,151.8439489,15825.28944,2.990475769,156.1782094,16243.47257,2.999044194,156.6177607,16283.76343,2.60407635,134.0694846,13713.02497,2.744358112,142.6382739,14811.1519,2.908047113,151.8439489,15825.28944,2.990475769,156.1782094,16243.47257,2.999044194,156.6177607,16283.76343,1.954680707,66.65070257,6.498252745,90.04581593,292.645478,-2.283284908,-0.020647957,1.972556605,66.59043191,6.499370898,96.71555828,5271.527812,-42.63271434,-0.090346303,1.99076722,66.5301457,6.499930095,209.0802687,54150.01241,-497.5154972,-0.328926386,1.999072863,66.50301459,6.499999301,321.9711993,70125.57705,-597.5677547,-0.34716478,1.999907248,66.50030146,6.499999993,330.7991981,70224.10262,-576.7770065,-0.33485094,1.954680707,735376457.4,5.66e+17,1.972556605,742357012.6,5.67e+17,1.99076722,749339369.6,5.67e+17,1.999072863,752481698.1,5.67e+17,1.999907248,752795933.5,5.67e+17,1.0,73.0,0.0,73.0,0.0,0.0,0.0,1.0,73.0,0.0,73.0,0.0,0.0,0.0,1.0,73.0,0.0,73.0,0.0,0.0,0.0,1.0,73.0,0.0,73.0,0.0,0.0,0.0,1.0,73.0,0.0,73.0,0.0,0.0,0.0
3.103820342,119.8710195,9719.035896,3.414647524,127.2228398,11047.4235,3.786585838,135.5115715,12389.29863,3.977744194,139.541089,12984.1046,3.997764936,139.9540094,13042.96779,3.103820342,119.8710195,9719.035896,3.414647524,127.2228398,11047.4235,3.786585838,135.5115715,12389.29863,3.977744194,139.541089,12984.1046,3.997764936,139.9540094,13042.96779,1.0,90.0,0.0,90.0,0.0,0.0,0.0,1.0,90.0,0.0,90.0,0.0,0.0,0.0,1.0,90.0,0.0,90.0,0.0,0.0,0.0,1.0,90.0,0.0,90.0,0.0,0.0,0.0,1.0,90.0,0.0,90.0,0.0,0.0,0.0,1.0,1505661697.0,0.0,1.0,1505661697.0,0.0,1.0,1505661697.0,0.0,1.0,1505661697.0,0.0,1.0,1505661697.0,0.0,1.0,90.0,0.0,90.0,0.0,0.0,0.0,1.0,90.0,0.0,90.0,0.0,0.0,0.0,1.0,90.0,0.0,90.0,0.0,0.0,0.0,1.0,90.0,0.0,90.0,0.0,0.0,0.0,1.0,90.0,0.0,90.0,0.0,0.0,0.0
1.031666816,292.532365,1242.373167,1.218057271,267.4273805,6264.135802,2.513524203,200.1572305,13785.35411,4.629200875,173.7713838,14431.66042,4.961272054,171.8099505,14433.9142,1.031666816,292.532365,1242.373167,1.218057271,267.4273805,6264.135802,2.513524203,200.1572305,13785.35411,4.629200875,173.7713838,14431.66042,4.961272054,171.8099505,14433.9142,1.0,298.0,0.0,298.0,0.0,0.0,0.0,1.0,298.0,0.0,298.0,0.0,0.0,0.0,1.0,298.0,0.0,298.0,0.0,0.0,0.0,1.0,298.0,0.0,298.0,0.0,0.0,0.0,1.0,298.0,0.0,298.0,0.0,0.0,0.0,1.0,1505661698.0,0.0,1.0,1505661698.0,0.0,1.0,1505661698.0,0.0,1.0,1505661698.0,0.0,1.0,1505661698.0,0.0,1.0,298.0,0.0,298.0,0.0,0.0,0.0,1.0,298.0,0.0,298.0,0.0,0.0,0.0,1.0,298.0,0.0,298.0,0.0,0.0,0.0,1.0,298.0,0.0,298.0,0.0,0.0,0.0,1.0,298.0,0.0,298.0,0.0,0.0,0.0
1.000002812,60.00065385,0.155535169,1.000558397,60.1157622,27.49477269,1.19380942,82.75387606,4909.369653,4.5827393,148.9453188,13490.68862,5.835751337,152.6504723,13735.68886,1.000002812,60.00065385,0.155535169,1.000558397,60.1157622,27.49477269,1.19380942,82.75387606,4909.369653,4.5827393,148.9453188,13490.68862,5.835751337,152.6504723,13735.68886,1.000000044,60.00000029,0.001948517,84.85281502,8.53e-05,2.61e-06,0.145289035,1.000050809,60.00033484,0.065975588,84.85434898,0.227133389,0.001590547,0.050589757,1.058792895,60.36260743,2.140657006,90.59920456,3234.122491,-30.4499235,-0.250127306,2.405591299,63.79972306,5.912571728,229.2343626,55056.19783,-604.9532303,-0.436056047,2.930691559,64.28229205,6.109973113,251.2965093,59337.17082,-707.4229603,-0.475309481,1.000000044,37.37446049,48622214056.0,1.000050809,37721.74862,56800000000000.0,1.058792895,41609493.17,6.09e+16,2.405591299,439676404.3,4.69e+17,2.930691559,495929622.8,5.01e+17,1.0,60.0,0.0,84.85281374,4.55e-13,0.0,0.0,1.0,60.0,0.0,84.85281374,4.55e-13,0.0,0.0,1.0,60.0,0.0,84.85281374,4.55e-13,0.0,0.0,1.0,60.0,0.0,84.85281374,9.09e-13,0.0,0.0,1.0,60.0,0.0,84.85281374,0.0,0.0,0.0
1.899642248,69.47577801,80.84172083,1.939038966,69.33901048,93.19764185,2.168822937,80.56196081,2651.375086,5.573056051,136.2152622,11811.07367,6.834517079,141.7279051,12422.00853,1.899642248,69.47577801,80.84172083,1.939038966,69.33901048,93.19764185,2.168822937,80.56196081,2651.375086,5.573056051,136.2152622,11811.07367,6.834517079,141.7279051,12422.00853,1.0,78.0,0.0,78.0,0.0,0.0,0.0,1.0,78.0,0.0,78.0,0.0,0.0,0.0,1.0,78.0,0.0,78.0,0.0,0.0,0.0,1.0,78.0,0.0,78.0,0.0,0.0,0.0,1.0,78.0,0.0,78.0,0.0,0.0,0.0,1.0,1505661702.0,0.0,1.0,1505661702.0,0.0,1.0,1505661702.0,0.0,1.0,1505661702.0,0.0,1.0,1505661702.0,0.0,1.0,78.0,0.0,78.0,0.0,0.0,0.0,1.0,78.0,0.0,78.0,0.0,0.0,0.0,1.0,78.0,0.0,78.0,0.0,0.0,0.0,1.0,78.0,0.0,78.0,0.0,0.0,0.0,1.0,78.0,0.0,78.0,0.0,0.0,0.0
